english,wylie,acip,tibetan_generated,pronunciation_generated,depth,occurrences,courses,refs,tier
"In a limitless round they're born, and in their births","mu med srid par skye zhing skye ba ru, ,",,མུ་མེད་སྲིད་པར་སྐྱེ་ཞིང་སྐྱེ་བ་རུ། །,"mume sipar kyeshing kyewa ru,",2,1,C01,C01:31,"TENTATIVE (machine-matched, unreviewed)"
"In a limitless round they're born, and in their births",mu med srid par skye zhing skye ba ru,,མུ་མེད་སྲིད་པར་སྐྱེ་ཞིང་སྐྱེ་བ་རུ,mume sipar kyeshing kyewa ru,3,1,C01,C01:31,"TENTATIVE (machine-matched, unreviewed)"
in and of itself,rang gi bdag nyid,RANG GI BDAG NYID,རང་གི་བདག་ཉིད,rang gi daknyi,5,2,C05,C05:226 C05:228,"TENTATIVE (machine-matched, unreviewed)"
in any of the ten directions,phyogs bcu'i,PHYOGS BCU'I,ཕྱོགས་བཅུའི,chokchuy,5,2,C03,C03:45 C03:46,"TENTATIVE (machine-matched, unreviewed)"
In conclusion,des na,DES NA,དེས་ན,de na,3,1,C05,C05:312,"TENTATIVE (machine-matched, unreviewed)"
In conclusion,mjug,MJUG,མཇུག,juk,5,1,C01,C01:311,"TENTATIVE (machine-matched, unreviewed)"
in dependence,brten nas,BRTEN NAS,བརྟེན་ནས,ten ne,5,2,C01,C01:381 C01:383,"TENTATIVE (machine-matched, unreviewed)"
in dependence upon,brten nas,BRTEN NAS,བརྟེན་ནས,ten ne,5,2,C01,C01:353 C01:359,"TENTATIVE (machine-matched, unreviewed)"
In general,spyir,SPYIR,སྤྱིར,chir,5,2,C01 C05,C01:81 C05:136,"TENTATIVE (machine-matched, unreviewed)"
in its entirety,rdzogs pa,RDZOGS PA,རྫོགས་པ,dzokpa,5,1,C02,C02:30,"TENTATIVE (machine-matched, unreviewed)"
in its entirety,yongs rdzogs,YONGS RDZOGS,ཡོངས་རྫོགས,yongdzok,7,1,C03,C03:367,"TENTATIVE (machine-matched, unreviewed)"
in mind,dgongs,DGONGS,དགོངས,gong,5,1,C03,C03:387,"TENTATIVE (machine-matched, unreviewed)"
in mind,yid kyi,YID KYI,ཡིད་ཀྱི,yi kyi,5,1,C03,C03:34,"TENTATIVE (machine-matched, unreviewed)"
"In name only, nirvana can be divided into the following four types: natural nirvana, nirvana with something left over, nirvana with nothing left over, and nirvana which does not stay.","myang 'das la sgras brjod rigs kyi sgo nas dbye na, rang bzhin gyi myang 'das, lhag bcas myang 'das, lhag med myang 'das, mi gnas pa'i myang 'das dang bzhi",,མྱང་འདས་ལ་སྒྲས་བརྗོད་རིགས་ཀྱི་སྒོ་ནས་དབྱེ་ན། རང་བཞིན་གྱི་མྱང་འདས། ལྷག་བཅས་མྱང་འདས། ལྷག་མེད་མྱང་འདས། མི་གནས་པའི་མྱང་འདས་དང་བཞི,nyangnde la dreju rik kyi go ne yena rangshin gyi nyangnde hlakche nyangnde hlakme nyangnde minepay nyangnde dang shi,1,1,C02,C02:55,"TENTATIVE (machine-matched, unreviewed)"
"In name only, nirvana can be divided into the following four types: natural nirvana, nirvana with something left over, nirvana with nothing left over, and nirvana which does not stay.","myang 'das la sgras brjod rigs kyi sgo nas dbye na, rang bzhin gyi myang 'das, lhag bcas myang 'das, lhag med myang 'das, mi gnas pa'i myang 'das dang bzhi",,མྱང་འདས་ལ་སྒྲས་བརྗོད་རིགས་ཀྱི་སྒོ་ནས་དབྱེ་ན། རང་བཞིན་གྱི་མྱང་འདས། ལྷག་བཅས་མྱང་འདས། ལྷག་མེད་མྱང་འདས། མི་གནས་པའི་མྱང་འདས་དང་བཞི,nyangnde la dreju rik kyi go ne yena rangshin gyi nyangnde hlakche nyangnde hlakme nyangnde minepay nyangnde dang shi,2,1,C02,C02:55,"TENTATIVE (machine-matched, unreviewed)"
In short,mdor na,MDOR NA,མདོར་ན,dor na,5,1,C01,C01:97,"TENTATIVE (machine-matched, unreviewed)"
In short,mdor bsdu na,MDOR BSDU NA,མདོར་བསྡུ་ན,dordu na,5,1,C01,C01:426,"TENTATIVE (machine-matched, unreviewed)"
in that,pas,,པས,pe,6,1,C05,C05:317,"TENTATIVE (machine-matched, unreviewed)"
in that,te,,ཏེ,te,6,1,C02,C02:67,"TENTATIVE (machine-matched, unreviewed)"
in the cycle,'khor,'KHOR,འཁོར,kor,5,1,C01,C01:357,"TENTATIVE (machine-matched, unreviewed)"
in the cycle,'khor,'KHOR,འཁོར,kor,7,1,C01,C01:33,"TENTATIVE (machine-matched, unreviewed)"
In the end,mthar,MTHAR,མཐར,tar,5,1,C03,C03:458,"TENTATIVE (machine-matched, unreviewed)"
In the end,tha na,THA NA,ཐ་ན,ta na,5,1,C03,C03:407,"TENTATIVE (machine-matched, unreviewed)"
in the hells,de na,,དེ་ན,de na,3,1,C05,C05:172,"TENTATIVE (machine-matched, unreviewed)"
in the hells,dmyal bar,DMYAL BAR,དམྱལ་བར,nyelwar,5,1,C01,C01:222,"TENTATIVE (machine-matched, unreviewed)"
in the Next,phyi mar,PHYI MAR,ཕྱི་མར,chimar,5,2,C03,C03:231 C03:235,"TENTATIVE (machine-matched, unreviewed)"
in the past,sngar,SNGAR,སྔར,ngar,5,2,C01 C03,C01:490 C03:390,"TENTATIVE (machine-matched, unreviewed)"
in the proper way,tshul bzhin du,TSUL BZHIN DU,ཚུལ་བཞིན་དུ,tsulshin du,5,1,C01,C01:88,"TENTATIVE (machine-matched, unreviewed)"
in the proper way,chos bzhin du,CHOS BZHIN DU,ཆོས་བཞིན་དུ,chushin du,5,1,C03,C03:125,"TENTATIVE (machine-matched, unreviewed)"
in the same situation,de'i tshe na,DE'I TSE NA,དེའི་ཚེ་ན,dey tse na,3,2,C05,C05:301 C05:302,"TENTATIVE (machine-matched, unreviewed)"
in the sky,nam mkha' la,NAM MKHA' LA,ནམ་མཁའ་ལ,namka la,5,1,C01,C01:341,"TENTATIVE (machine-matched, unreviewed)"
in the sky,mkha' la,MKHA' LA,མཁའ་ལ,ka la,5,1,C01,C01:473,"TENTATIVE (machine-matched, unreviewed)"
in the Steps,rim par,RIM PAR,རིམ་པར,rimpar,5,2,C03,C03:225 C03:272,"TENTATIVE (machine-matched, unreviewed)"
in the way,bzhin du,BZHIN DU,བཞིན་དུ,shin du,3,1,C05,C05:241,"TENTATIVE (machine-matched, unreviewed)"
in the way,ltar,LTAR,ལྟར,tar,7,1,C03,C03:299,"TENTATIVE (machine-matched, unreviewed)"
in the way of,lta bu'i,LTA BU'I,ལྟ་བུའི,tabuy,5,1,C03,C03:365,"TENTATIVE (machine-matched, unreviewed)"
in the way of,ltar,LTAR,ལྟར,tar,6,1,C04,C04:116,"TENTATIVE (machine-matched, unreviewed)"
in the world,'jig rten,'JIG RTEN,འཇིག་རྟེན,jikten,5,1,C01,C01:241,"TENTATIVE (machine-matched, unreviewed)"
in the world,spyi,SPYI,སྤྱི,chi,5,1,C01,C01:113,"TENTATIVE (machine-matched, unreviewed)"
"In this and my future lives may I never fail to collect More of the short and long-term causes which bring me both the bodies;200 May I win the beauty of eyes that guide myself and others too On the excellent paths, fixed upon the wise and adept ahead.","'di dang phyi mar sku gnyis sgrub pa'i thabs, ,'phral dang yun gyi rgyu tshogs mi dman zhing , ,rang dang gzhan yang lam bzang bgrod pa'i mig,mkhas dang grub pa'i rjes su gtod na mdzes",,འདི་དང་ཕྱི་མར་སྐུ་གཉིས་སྒྲུབ་པའི་ཐབས། ། འཕྲལ་དང་ཡུན་གྱི་རྒྱུ་ཚོགས་མི་དམན་ཞིང། ། རང་དང་གཞན་ཡང་ལམ་བཟང་བགྲོད་པའི་མིག། མཁས་དང་གྲུབ་པའི་རྗེས་སུ་གཏོད་ན་མཛེས,"di dang chimar kunyi druppay tab,'phrel dang yun gyi gyutsok mimen shing, ,rang dang shen yang lamsang drupay mik dang druppay je-su tu na dze",1,1,C01,C01:477,"TENTATIVE (machine-matched, unreviewed)"
"In this and my future lives may I never fail to collect More of the short and long-term causes which bring me both the bodies;200 May I win the beauty of eyes that guide myself and others too On the excellent paths, fixed upon the wise and adept ahead.","'di dang phyi mar sku gnyis sgrub pa'i thabs, ,'phral dang yun gyi rgyu tshogs mi dman zhing , ,rang dang gzhan yang lam bzang bgrod pa'i mig,mkhas dang grub pa'i rjes su gtod na mdzes",,འདི་དང་ཕྱི་མར་སྐུ་གཉིས་སྒྲུབ་པའི་ཐབས། ། འཕྲལ་དང་ཡུན་གྱི་རྒྱུ་ཚོགས་མི་དམན་ཞིང། ། རང་དང་གཞན་ཡང་ལམ་བཟང་བགྲོད་པའི་མིག། མཁས་དང་གྲུབ་པའི་རྗེས་སུ་གཏོད་ན་མཛེས,"di dang chimar kunyi druppay tab,'phrel dang yun gyi gyutsok mimen shing, ,rang dang shen yang lamsang drupay mik dang druppay je-su tu na dze",4,1,C01,C01:477,"TENTATIVE (machine-matched, unreviewed)"
in this circle of life,'khor ba'i,'KHOR BA'I,འཁོར་བའི,korway,5,1,C01,C01:488,"TENTATIVE (machine-matched, unreviewed)"
in this circle of life,'khor bar,'KHOR BAR,འཁོར་བར,korwar,5,1,C01,C01:360,"TENTATIVE (machine-matched, unreviewed)"
in ways,thabs,THABS,ཐབས,tap,5,1,C01,C01:326,"TENTATIVE (machine-matched, unreviewed)"
in ways,thabs la,THABS LA,ཐབས་ལ,tap la,5,1,C01,C01:351,"TENTATIVE (machine-matched, unreviewed)"
in-out breath,dbugs 'byung rngub,DBUGS 'BYUNG RNGUB,དབུགས་འབྱུང་རྔུབ,uknjung ngub,5,1,C04,C04:146,"TENTATIVE (machine-matched, unreviewed)"
in-out breath,'byung rngub,'BYUNG RNGUB,འབྱུང་རྔུབ,jungngub,5,1,C04,C04:138,"TENTATIVE (machine-matched, unreviewed)"
include,bcas,BCAS,བཅས,che,5,1,C01,C01:135,"TENTATIVE (machine-matched, unreviewed)"
include,bcas pa,BCAS PA,བཅས་པ,chepa,5,1,C02,C02:66,"TENTATIVE (machine-matched, unreviewed)"
inconsistency,nyes pa,NYES PA,ཉེས་པ,nyepa,5,1,C05,C05:118,"TENTATIVE (machine-matched, unreviewed)"
inconsistency,'gal ba,'GAL BA,འགལ་བ,gelwa,5,1,C05,C05:307,"TENTATIVE (machine-matched, unreviewed)"
inconsistent,mi bsrun pa,MI BSRUN PA,མི་བསྲུན་པ,misunpa,5,1,C05,C05:195,"TENTATIVE (machine-matched, unreviewed)"
inconsistent,mi mthun pa,MI MTHUN PA,མི་མཐུན་པ,mitunpa,5,1,C05,C05:99,"TENTATIVE (machine-matched, unreviewed)"
incredible,phun sum tshogs pa,PHUN SUM TSOGS PA,ཕུན་སུམ་ཚོགས་པ,punsum tsokpa,5,1,C03,C03:433,"TENTATIVE (machine-matched, unreviewed)"
incredible,chen po,CHEN PO,ཆེན་པོ,chenpo,7,1,C03,C03:491,"TENTATIVE (machine-matched, unreviewed)"
incredibly valuable,don che,DON CHE,དོན་ཆེ,dunche,5,1,C01,C01:202,"TENTATIVE (machine-matched, unreviewed)"
incredibly valuable,don che ba,DON CHE BA,དོན་ཆེ་བ,dunchewa,5,1,C01,C01:198,"TENTATIVE (machine-matched, unreviewed)"
indirectly,brgyud pa,BRGYUD PA,བརྒྱུད་པ,gyupa,5,1,C05,C05:224,"TENTATIVE (machine-matched, unreviewed)"
indirectly,shugs la,SHUGS LA,ཤུགས་ལ,shuk la,5,1,C05,C05:83,"TENTATIVE (machine-matched, unreviewed)"
infected,bslad,BSLAD,བསླད,le,5,1,C03,C03:501,"TENTATIVE (machine-matched, unreviewed)"
infected,bslad pa,BSLAD PA,བསླད་པ,lepa,5,1,C03,C03:556,"TENTATIVE (machine-matched, unreviewed)"
inseparable,dbyer mi phyed pa,DBYER MI PHYED PA,དབྱེར་མི་ཕྱེད་པ,yer michepa,5,1,C03,C03:518,"TENTATIVE (machine-matched, unreviewed)"
inseparable,dbyer mi phyed pa'i,DBYER MI PHYED PA'I,དབྱེར་མི་ཕྱེད་པའི,yer michepay,5,1,C03,C03:518,"TENTATIVE (machine-matched, unreviewed)"
Insofar as,phyir,PHYIR,ཕྱིར,chir,6,2,C05,C05:248 C05:281,"TENTATIVE (machine-matched, unreviewed)"
inspired,kun nas bslangs pa,KUN NAS BSLANGS PA,ཀུན་ནས་བསླངས་པ,kun ne langpa,5,1,C04,C04:171,"TENTATIVE (machine-matched, unreviewed)"
inspired,spro ba,SPRO BA,སྤྲོ་བ,trowa,5,1,C05,C05:44,"TENTATIVE (machine-matched, unreviewed)"
instance,lta bu,LTA BU,ལྟ་བུ,tabu,5,1,C05,C05:330,"TENTATIVE (machine-matched, unreviewed)"
instance,skabs,SKABS,སྐབས,kap,7,1,C04,C04:98,"TENTATIVE (machine-matched, unreviewed)"
instant,skad cig,SKAD CIG,སྐད་ཅིག,kechik,5,1,C05,C05:114,"TENTATIVE (machine-matched, unreviewed)"
instant,glo bur,GLO BUR,གློ་བུར,lobur,5,1,C03,C03:453,"TENTATIVE (machine-matched, unreviewed)"
intense,cher,CHER,ཆེར,cher,5,1,C04,C04:176,"TENTATIVE (machine-matched, unreviewed)"
intense,yid gdungs pa,YID GDUNGS PA,ཡིད་གདུངས་པ,yidungpa,5,1,C01,C01:236,"TENTATIVE (machine-matched, unreviewed)"
intensity,shugs drag,SHUGS DRAG,ཤུགས་དྲག,shukdrak,5,1,C01,C01:281,"TENTATIVE (machine-matched, unreviewed)"
intensity,shugs,SHUGS,ཤུགས,shuk,7,1,C03,C03:503,"TENTATIVE (machine-matched, unreviewed)"
intention,dgongs pa,DGONGS PA,དགོངས་པ,gongpa,5,1,C05,C05:25,"TENTATIVE (machine-matched, unreviewed)"
intention,'dun,'DUN,འདུན,dun,5,1,C03,C03:613,"TENTATIVE (machine-matched, unreviewed)"
interest,rtsi,RTZI,རྩི,tsi,5,1,C03,C03:447,"TENTATIVE (machine-matched, unreviewed)"
interest,don,DON,དོན,dun,7,1,C03,C03:501,"TENTATIVE (machine-matched, unreviewed)"
intermittently,res 'ga',RES 'GA',རེས་འགའ,renga,5,1,C04,C04:72,"TENTATIVE (machine-matched, unreviewed)"
intermittently,re 'ga',RE 'GA',རེ་འགའ,renga,5,1,C04,C04:73,"TENTATIVE (machine-matched, unreviewed)"
interpret,sbyar,SBYAR,སྦྱར,jar,5,1,C01,C01:102,"TENTATIVE (machine-matched, unreviewed)"
interpret,mngon par zhen,MNGON PAR ZHEN,མངོན་པར་ཞེན,ngunpar shen,5,1,C05,C05:214,"TENTATIVE (machine-matched, unreviewed)"
interrupted,chad,CHAD,ཆད,che,5,1,C03,C03:209,"TENTATIVE (machine-matched, unreviewed)"
interrupted,bar du gcod pa,BAR DU GCOD PA,བར་དུ་གཅོད་པ,bar du chupa,5,1,C03,C03:210,"TENTATIVE (machine-matched, unreviewed)"
invent,rtog pa,RTOG PA,རྟོག་པ,tokpa,5,1,C05,C05:228,"TENTATIVE (machine-matched, unreviewed)"
invent,btsal ba,BTZAL BA,བཙལ་བ,tselwa,5,1,C03,C03:389,"TENTATIVE (machine-matched, unreviewed)"
investigate,dpyad,DPYAD,དཔྱད,che,5,2,C01 C04,C01:69 C04:112,"TENTATIVE (machine-matched, unreviewed)"
involved,'brel,'BREL,འབྲེལ,drel,5,1,C05,C05:186,"TENTATIVE (machine-matched, unreviewed)"
involved,'dres pa'i,,འདྲེས་པའི,drepay,7,1,C03,C03:373,"TENTATIVE (machine-matched, unreviewed)"
involves,dang bcas pa,DANG BCAS PA,དང་བཅས་པ,dangchepa,5,1,C04,C04:123,"TENTATIVE (machine-matched, unreviewed)"
involves,bcas,BCAS,བཅས,che,7,1,C05,C05:138,"TENTATIVE (machine-matched, unreviewed)"
Is,yin,YIN,ཡིན,yin,5,1,C04,C04:121,"TENTATIVE (machine-matched, unreviewed)"
Is,yin,YIN,ཡིན,yin,6,1,C05,C05:308,"TENTATIVE (machine-matched, unreviewed)"
is come,byon,BYON,བྱོན,jun,5,1,C03,C03:385,"TENTATIVE (machine-matched, unreviewed)"
is come,bab pa,BAB PA,བབ་པ,bappa,5,1,C03,C03:419,"TENTATIVE (machine-matched, unreviewed)"
is complete,rdzogs pa,RDZOGS PA,རྫོགས་པ,dzokpa,5,1,C01,C01:404,"TENTATIVE (machine-matched, unreviewed)"
is complete,rdzogs pa lags,RDZOGS PA LAGS,རྫོགས་པ་ལགས,dzokpa lak,5,1,C01,C01:405,"TENTATIVE (machine-matched, unreviewed)"
is meant to convey,bstan,BSTAN,བསྟན,ten,5,1,C03,C03:364,"TENTATIVE (machine-matched, unreviewed)"
is meant to convey,de'i don du mdzad pa yin,,དེའི་དོན་དུ་མཛད་པ་ཡིན,dey dun du dzepa yin,6,1,C01,C01:210,"TENTATIVE (machine-matched, unreviewed)"
is meant to indicate,don,DON,དོན,dun,5,1,C03,C03:379,"TENTATIVE (machine-matched, unreviewed)"
is meant to indicate,bstan,BSTAN,བསྟན,ten,5,1,C01,C01:485,"TENTATIVE (machine-matched, unreviewed)"
is no,ma yin,MA YIN,མ་ཡིན,mayin,5,2,C04 C05,C04:101 C05:143,"TENTATIVE (machine-matched, unreviewed)"
is present,yod,YOD,ཡོད,yu,5,1,C05,C05:116,"TENTATIVE (machine-matched, unreviewed)"
is present,yod pa,YOD PA,ཡོད་པ,yupa,5,1,C05,C05:111,"TENTATIVE (machine-matched, unreviewed)"
is right,rung ba,RUNG BA,རུང་བ,rungwa,5,1,C01,C01:423,"TENTATIVE (machine-matched, unreviewed)"
is right,rung bar 'gyur,RUNG BAR 'GYUR,རུང་བར་འགྱུར,rungwar gyur,5,1,C01,C01:423,"TENTATIVE (machine-matched, unreviewed)"
is saying,gsungs,GSUNGS,གསུངས,sung,5,1,C01,C01:129,"TENTATIVE (machine-matched, unreviewed)"
is saying,gsungs pa yin,GSUNGS PA YIN,གསུངས་པ་ཡིན,sungpa yin,5,1,C03,C03:371,"TENTATIVE (machine-matched, unreviewed)"
it exists,grub pa,GRUB PA,གྲུབ་པ,druppa,5,1,C01,C01:353,"TENTATIVE (machine-matched, unreviewed)"
it exists,tshur grub pa,TSUR GRUB PA,ཚུར་གྲུབ་པ,tsurdruppa,5,1,C01,C01:384,"TENTATIVE (machine-matched, unreviewed)"
it is,gzhi grub,GZHI GRUB,གཞི་གྲུབ,shidrup,5,1,C04,C04:56,"TENTATIVE (machine-matched, unreviewed)"
it is,yin pa'i,YIN PA'I,ཡིན་པའི,yinpay,6,1,C01,C01:415,"TENTATIVE (machine-matched, unreviewed)"
It is stated as well that the purpose of sitting up very straight is that this prevents mental fogginess and sleepiness.,"lus drang por bsrang ba ni rmugs pa dang gnyid mi 'byung ba'i don du gsungs so,",,ལུས་དྲང་པོར་བསྲང་བ་ནི་རྨུགས་པ་དང་གཉིད་མི་འབྱུང་བའི་དོན་དུ་གསུངས་སོ།,ludrang porsangwa ni mukpa dang nyi minjungway dun du sungso,1,1,C03,C03:150,"TENTATIVE (machine-matched, unreviewed)"
It is stated as well that the purpose of sitting up very straight is that this prevents mental fogginess and sleepiness.,"lus drang por bsrang ba ni rmugs pa dang gnyid mi 'byung ba'i don du gsungs so,",,ལུས་དྲང་པོར་བསྲང་བ་ནི་རྨུགས་པ་དང་གཉིད་མི་འབྱུང་བའི་དོན་དུ་གསུངས་སོ།,ludrang porsangwa ni mukpa dang nyi minjungway dun du sungso,2,1,C03,C03:150,"TENTATIVE (machine-matched, unreviewed)"
it would be impossible,mi srid,MI SRID,མི་སྲིད,misi,5,1,C01,C01:395,"TENTATIVE (machine-matched, unreviewed)"
it would be impossible,mi srid pa,MI SRID PA,མི་སྲིད་པ,misipa,5,1,C01,C01:395,"TENTATIVE (machine-matched, unreviewed)"
It's the purest essence of the butter Churned from the milk of the holy word.,"dam chos 'o ma bsrubs pa las, ,mar gyi nying khu phyung ba yin",,དམ་ཆོས་འོ་མ་བསྲུབས་པ་ལས། ། མར་གྱི་ཉིང་ཁུ་ཕྱུང་བ་ཡིན,"damchu o masuppa le,mar gyi nyingku chungwa yin",1,1,C01,C01:314,"TENTATIVE (machine-matched, unreviewed)"
It's the purest essence of the butter Churned from the milk of the holy word.,"dam chos 'o ma bsrubs pa las, ,mar gyi nying khu phyung ba yin",,དམ་ཆོས་འོ་མ་བསྲུབས་པ་ལས། ། མར་གྱི་ཉིང་ཁུ་ཕྱུང་བ་ཡིན,"damchu o masuppa le,mar gyi nyingku chungwa yin",4,1,C01,C01:314,"TENTATIVE (machine-matched, unreviewed)"
its own,rang gi,RANG GI,རང་གི,rang gi,5,1,C04,C04:46,"TENTATIVE (machine-matched, unreviewed)"
its own,rang,RANG,རང,rang,7,1,C04,C04:174,"TENTATIVE (machine-matched, unreviewed)"
Jinaputra,rgyal sras,RGYAL SRAS,རྒྱལ་སྲས,gyelse,5,1,C05,C05:96,"TENTATIVE (machine-matched, unreviewed)"
Jinaputra,rgyal po'i sras,RGYAL PO'I SRAS,རྒྱལ་པོའི་སྲས,gyelpoy se,5,1,C05,C05:77,"TENTATIVE (machine-matched, unreviewed)"
join,'brel ba,'BREL BA,འབྲེལ་བ,drelwa,5,1,C03,C03:505,"TENTATIVE (machine-matched, unreviewed)"
join,chud,CHUD,ཆུད,chu,5,1,C03,C03:485,"TENTATIVE (machine-matched, unreviewed)"
joined,ldan pa,LDAN PA,ལྡན་པ,denpa,7,1,C05,C05:127,"TENTATIVE (machine-matched, unreviewed)"
joined,mtshungs ldan,MTSUNGS LDAN,མཚུངས་ལྡན,tsungnden,7,1,C03,C03:376,"TENTATIVE (machine-matched, unreviewed)"
joined with,dang mtshungs ldan,DANG MTSUNGS LDAN,དང་མཚུངས་ལྡན,dangtsung den,5,1,C03,C03:376,"TENTATIVE (machine-matched, unreviewed)"
joined with,grogs byas,GROGS BYAS,གྲོགས་བྱས,drokje,5,1,C03,C03:393,"TENTATIVE (machine-matched, unreviewed)"
journey,bgrod pa,BGROD PA,བགྲོད་པ,drupa,5,1,C02,C02:36,"TENTATIVE (machine-matched, unreviewed)"
journey,'grod pa,'GROD PA,འགྲོད་པ,drupa,5,1,C02,C02:35,"TENTATIVE (machine-matched, unreviewed)"
just so,tshul bzhin,TSUL BZHIN,ཚུལ་བཞིན,tsulshin,5,1,C03,C03:474,"TENTATIVE (machine-matched, unreviewed)"
just so,ltar,LTAR,ལྟར,tar,6,1,C01,C01:341,"TENTATIVE (machine-matched, unreviewed)"
Just so,des na,DES NA,དེས་ན,de na,5,1,C01,C01:122,"TENTATIVE (machine-matched, unreviewed)"
Just so,'di ltar,'DI LTAR,འདི་ལྟར,ditar,5,1,C02,C02:24,"TENTATIVE (machine-matched, unreviewed)"
just subsequent,mjug thogs,MJUG THOGS,མཇུག་ཐོགས,juktok,5,2,C05,C05:327 C05:333,"TENTATIVE (machine-matched, unreviewed)"
Karika,kA ri kA,,ཀཱ་རི་ཀཱ,kari ka,5,2,C05,C05:30 C05:31,"TENTATIVE (machine-matched, unreviewed)"
karma and its consequences,las 'bras,LAS 'BRAS,ལས་འབྲས,ledre,5,2,C05,C05:220 C05:298,"TENTATIVE (machine-matched, unreviewed)"
karmic,las,LAS,ལས,le,5,2,C03 C05,C03:441 C05:145,"TENTATIVE (machine-matched, unreviewed)"
Kashmiri,kha che,KHA CHE,ཁ་ཆེ,kache,5,1,C05,C05:113,"TENTATIVE (machine-matched, unreviewed)"
Kashmiri,kha che,KHA CHE,ཁ་ཆེ,kache,7,1,C05,C05:225,"TENTATIVE (machine-matched, unreviewed)"
Kashmiris,kha che ba,KHA CHE BA,ཁ་ཆེ་བ,kachewa,5,1,C05,C05:81,"TENTATIVE (machine-matched, unreviewed)"
Kashmiris,kha che bas,KHA CHE BAS,ཁ་ཆེ་བས,kachewe,5,1,C05,C05:226,"TENTATIVE (machine-matched, unreviewed)"
Katyayaniputra,ka tu'i bu,KA TU'I BU,ཀ་ཏུའི་བུ,katuy bu,5,1,C05,C05:74,"TENTATIVE (machine-matched, unreviewed)"
Katyayaniputra,ka tu'i bus,KA TU'I BUS,ཀ་ཏུའི་བུས,katuy bu,5,1,C05,C05:77,"TENTATIVE (machine-matched, unreviewed)"
Keep,mdzad,MDZAD,མཛད,dze,5,1,C01,C01:316,"TENTATIVE (machine-matched, unreviewed)"
Keep,blang,BLANG,བླང,lang,7,1,C03,C03:296,"TENTATIVE (machine-matched, unreviewed)"
Keepers of the Word,bka' gdams,BKA' GDAMS,བཀའ་གདམས,kadam,5,1,C03,C03:446,"TENTATIVE (machine-matched, unreviewed)"
Keepers of the Word,bka' gdams,BKA' GDAMS,བཀའ་གདམས,kadam,7,1,C03,C03:345,"TENTATIVE (machine-matched, unreviewed)"
keeps,byas,BYAS,བྱས,je,5,1,C03,C03:470,"TENTATIVE (machine-matched, unreviewed)"
keeps,'dzin,'DZIN,འཛིན,dzin,5,1,C03,C03:470,"TENTATIVE (machine-matched, unreviewed)"
Keeps,'chang,'CHANG,འཆང,chang,7,2,C03,C03:297 C03:602,"TENTATIVE (machine-matched, unreviewed)"
key,rtsa ba,RTZA BA,རྩ་བ,tsawa,5,1,C03,C03:354,"TENTATIVE (machine-matched, unreviewed)"
key,lde mig,LDE MIG,ལྡེ་མིག,demik,5,1,C01,C01:110,"TENTATIVE (machine-matched, unreviewed)"
keys,gnad,GNAD,གནད,ne,5,2,C03,C03:589 C03:609,"TENTATIVE (machine-matched, unreviewed)"
kind of,lta bu,LTA BU,ལྟ་བུ,tabu,5,1,C03,C03:542,"TENTATIVE (machine-matched, unreviewed)"
kind of,lta bu'i,LTA BU'I,ལྟ་བུའི,tabuy,5,1,C05,C05:53,"TENTATIVE (machine-matched, unreviewed)"
kind of life,rten bzang,RTEN BZANG,རྟེན་བཟང,tensang,5,1,C03,C03:398,"TENTATIVE (machine-matched, unreviewed)"
kind of life,rten,RTEN,རྟེན,ten,7,1,C03,C03:404,"TENTATIVE (machine-matched, unreviewed)"
King of Concentration,ting nge 'dzin gyi rgyal po,TING NGE 'DZIN GYI RGYAL PO,ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ,tingnge dzin gyi gyelpo,5,1,C01,C01:331,"TENTATIVE (machine-matched, unreviewed)"
King of Concentration,ting nge 'dzin rgyal po,TING NGE 'DZIN RGYAL PO,ཏིང་ངེ་འཛིན་རྒྱལ་པོ,tingnge dzingyelpo,5,1,C02,C02:61,"TENTATIVE (machine-matched, unreviewed)"
king's,rgyal po lta bu'i,,རྒྱལ་པོ་ལྟ་བུའི,gyelpo tabuy,4,1,C02,C02:52,"TENTATIVE (machine-matched, unreviewed)"
king's,rgyal po,RGYAL PO,རྒྱལ་པོ,gyelpo,5,1,C02,C02:52,"TENTATIVE (machine-matched, unreviewed)"
Knowing,mkhyen pa,MKHYEN PA,མཁྱེན་པ,kyenpa,7,2,C03,C03:421 C03:445,"TENTATIVE (machine-matched, unreviewed)"
knowing all things,thams cad mkhyen pa,THAMS CAD MKHYEN PA,ཐམས་ཅད་མཁྱེན་པ,tamche kyenpa,5,2,C01 C03,C01:84 C03:372,"TENTATIVE (machine-matched, unreviewed)"
labelled,btags pa,BTAGS PA,བཏགས་པ,takpa,5,1,C05,C05:232,"TENTATIVE (machine-matched, unreviewed)"
labelled,phar btags,PHAR BTAGS,ཕར་བཏགས,partak,5,1,C01,C01:369,"TENTATIVE (machine-matched, unreviewed)"
lacked,mtshang,MTSANG,མཚང,tsang,5,1,C03,C03:387,"TENTATIVE (machine-matched, unreviewed)"
lacked,med,MED,མེད,me,7,1,C03,C03:342,"TENTATIVE (machine-matched, unreviewed)"
lamp,sgron me,SGRON ME,སྒྲོན་མེ,drunme,5,1,C04,C04:116,"TENTATIVE (machine-matched, unreviewed)"
lamp,sgron,,སྒྲོན,drun,7,1,C01,C01:48,"TENTATIVE (machine-matched, unreviewed)"
