rank	corpus_freq	phonetic_gmr	wylie	hgm_gloss
365	287	la na me	bla na med	matchless; highest
366	287	marpo	dmar po	crimson
367	285	bakchak	bag chags	habits of our suffering past; subtle mental potential for; mental seed; seed; mental propensity; mental seeds; 'mental s
368	285	yu kyang	yod kyang	if so
369	284	duchak	'dod chags	attachment; desire; craving; emotion of liking; desiring
370	284	nepar	gnas par	how it stays
371	284	takpar	rtag par	forever; unchanging
372	283	dangngel	dang 'gal	to contradict; what about; seems to contradict
373	283	nyang	myang	nirvana
374	282	depa	dad pa	true faith; faith; emotion of faith
375	282	mite	mi 'thad	is incorrect; wrong; incorrect; would be incorrect; improper; problem
376	281	metok	me tog	flowers; blossom; flower
377	281	me la	med la	are free of
378	281	mitun	mi mthun	incongruity; something different
379	280	jungway	'byung ba'i	would be able to find; come from
380	280	detabuy	de lta bu'i	these; the; these sorts; we are describing here
381	280	gang du	gang du	where; when; no matter where; the place in which; how; who; in which; which
382	279	doje chang	rdo rje 'chang	the Holder of the Diamond
383	277	wangchuk	dbang phyug	creator being; lord of power; lord; almighty; powerful
384	276	jinlap	byin rlabs	a blessing; blessing
385	276	tartuk	mthar thug	ultimate
386	274	rinchen	rin chen	jewels; jewel; precious things; precious jewels
387	273	tadak	mtha' dag	limitless number; the entire amount; every; entire contents; at all; each and every one; every form of; each and every; 
388	272	na yang	na yang	even; might by some remote chance happen to; when; even if; though; if even; if; but
389	272	tokmar	thog mar	first; at the outset; the start-off; first of all; starts with; at the very start; start-off; from the outset
390	270	dun la	don la	true; actual; actually; incidentally; actual meaning
391	269	pawo	dpa' bo	aryashura; princes
392	268	damngak	gdams ngag	spiritual advices; instructions
393	268	tarpa	thar pa	freedom
394	267	drachom	dgra bcom	state of an enemy destroyer; enemy destroyers; destroying; enemy destroyer
395	267	nekap	gnas skabs	what's happening; temporary; condition; temporal; at this juncture; temporal purpose; states; periods; when; time; perio
396	265	katsel	bka' stsal	spoken; said; stated; spoke ... spoke; made statements
397	264	gashik	'ga' zhig	few; some; certain; particular; only one or two of them; some kinds of; certain number; a number of; while others; some 
398	263	punsum	phun sum	excellent
399	263	sipa	srid pa	cyclic life; life; round; the ripe force of deeds; the birth; the being; types of lives; being; birth; beings; next life
400	262	gyurchik	gyur cig	i wish; may they be; i'll see that they do
401	262	nyur du	myur du	quickly; soon
402	261	yangma	yang ma	never; mother's mother; neither
403	260	taktu	rtag tu	always; total; constantly; all the time
404	259	chik la	gcig la	on the one
405	259	mindu	mi 'dod	want no; does not agree; do not assert; cannot accept
406	258	do le	mdo las	another sutra concurs:; for as sutra states:; as sutra states,; as sutra says; we find the following lines in sutra; sut
407	258	kyewo	skye bo	beings; the one; people; being; individuals; person; persons
408	257	chiy chir	ci'i phyir	why is it; why; how; why ... ?
409	257	shitun	gzhi mthun	wet and flowing
410	257	mayinpay chir	ma yin pa'i phyir	not really; isn't it ... not; nor is it; this is because it is not the case
411	257	tsaway	rtsa ba'i	main; principal; original statement
412	256	choktu	mchog tu	very longest; more supreme; supremely; highest; perfect
413	256	punsum tsok	phun sum tshogs	mean by desire
414	255	denpay	ldan pa'i	with; full
415	254	dutsi	bdud rtsi	nectar essence; nectar; ambrosia
416	254	kyerim	bskyed rim	other
417	254	tabur	lta bur	imagining; like a; like; a kind of
418	252	denndzin	bden 'dzin	tendency to hold things as existing truly; grasping to true existence; grasping to the true existence; tendency to see t
419	252	jung na	byung na	if; suppose you say
420	252	yerme	dbyer med	personal instruction for developing
421	252	tunmong ma	thun mong ma	unique
422	250	chu-nyi	chos nyid	nature; nature of things; very nature; real nature of things; real nature; reality; naturally
423	249	mingel	mi 'gal	no such inconsistency; it is not; no contradiction; not mutually exclusive; no inconsistency
424	246	degang	de gang	what is ... ?; just what; what; can
425	246	nyiyu	gnyis yod	may be divided into two
426	246	dode	mdo sde	collection of sutras; sutras; scriptures; scriptural collection; sutra; groups of sutra; group of sutras; various groups
427	246	tsatung	rtsa ltung	root downfalls; root downfall; root downfall of the vows
428	246	tanye du	tha snyad du	nominally; in a nominal way; nominal; in a normal way
429	245	hlamo	lha mo	praise
430	245	misi	mi srid	impossible; totally impossible; complete impossibility; an impossibility; impossibility; total impossibility; could neve
431	244	jungwar	'byung bar	one may begin
432	244	duje	'du byed	factors; things with causes; thing with a cause; factor; things which are factors; pervasive; other factors; factors)
433	244	nyamlen	nyams len	practices; practice
434	243	nyepa	nyes pa	wrong; harmful); harms; offense; wrong deeds; something wrong; offenses; mistakes; bad deed; such a deed; errors; seriou
435	242	kandro	mkha' 'gro	angel; angels
436	242	nyentu	nyan thos	the listeners; tradition of the listeners; those of the listener way; person of the listener tradition; listener way; li
437	241	dedak ni	de dag ni	those who
438	241	mishe	mi shes	lose this awareness; never know; knew absolutely nothing
439	239	sulwa dep	gsol ba 'debs	the proper supplications; supplications
440	239	kachik na re	kha cig na re	some ... say the following; some ... have made the following argument; someone; some people make the following claim; so
441	239	kyangmi	kyang mi	neither; nor
442	239	shukpa	zhugs pa	entered
443	238	dendra	de 'dra	like these; like; of this type; these kinds of things; like this; this kind; same; this; such
444	238	gendun	dge 'dun	Sangha; the Sangha
445	238	lekye	las skyes	come from
446	238	parchin	phar phyin	perfections; perfection of wisdom; way of the perfections
447	238	tokpar	rtogs par	have realized; realizes; realized
448	236	kunshi	kun gzhi	foundation consciousness; foundation
449	236	minjung	mi 'byung	never come; do not appear; cannot occur; couldn't happen; never occurs; never happen
450	235	makyab	ma khyab	doesn't necessitate; it's not necessarily the case; it doesn't necessarily follow; doesn't mean that it's true in every 
451	235	yi kyi	yid kyi	mind
452	234	lok-su	logs su	separate; isolated
453	234	mikye	mi skye	no one ... is ever born
454	233	data	da lta	and here am i; present times; at the present moment; nowadays; now; current; just; here am i; present
455	233	dangchepay	dang bcas pa'i	involving
456	233	sem tsam	sems tsam	only a part of the mind; mind only; mind-only school
457	232	ledre	las 'bras	deeds and their fruits
458	232	ngapa	lnga pa	the fifth; fifth; fifth type of; five
459	232	lokpar	log par	totally blind; wrong; mistaken
460	232	tamche kyen	thams cad mkhyen	omniscience
461	231	gokpa	'gog pa	stop; put an end; eliminate; refutation; disprove; deny; disproving; denying; denies; deny the possibility that; block; 
462	231	gakpa	dgag pa	missing; refutation; refute; refuting; denies; absence; stop; deny; disproving; denial; disprove; denying
463	231	gyu kyi	rgyud kyi	found in the mental stream
464	230	jikje	'jigs byed	the Frightener
465	230	yewa	dbye ba	a division; division; kinds; divisions; dividing up; divided; different types; dividing; all the different types; differ
466	229	gong du	gong du	prior; before; with the foregoing; above; earlier; just
467	229	lamrim	lam rim	the Steps of the path; the Steps of the path to Buddhahood; the Steps to Buddhahood
468	229	mindra	mi 'dra	dissimilar; variety
469	228	chishik	ci zhig	any; what possible; what; where; how; what ... ?
470	228	gopang	go 'phang	the state; state; he state; level; states
471	228	maong	ma 'ongs	stays
472	227	lensum	lan gsum	three times
473	227	sapa	sa pa	level; stage
474	226	tekchen	theg chen	greater way; teachings of the greater way; the greater way; those of the greater way; higher way; greater way's
475	225	dangpor	dang por	at the beginning; first; at first; originally; in the first place
476	225	de tsam	de tsam	just the same; anything other than; that; worth no more or less; only
477	225	kyepar du	khyad par du	more specifically; infinitely; in particular; especially
478	225	sipay	srid pa'i	circle of suffering life
479	224	ye na	dbye na	it can be divided; can be divided
480	223	nyangde	myang 'das	nirvana; state of nirvana; nirvana)
481	223	semchen nam	sems can rnams	another person; beings; all the beings; living beings
482	223	yi la	yid la	it is true that
483	222	choga	cho ga	ceremony; text for a ceremony; ritual; ceremonies; devotions
484	222	sungrab	gsung rab	high teachings
485	222	mine	mi gnas	does not reside; doesn't reside; does not remain
486	222	nyongwa	myong ba	fluency; enjoying; experience; undergo; experiencer; experiences; experienced; felt; feels; taste; experience); achieve;
487	221	pelnden	dpal ldan	glorious
488	221	nyenpo	gnyen po	antidote; corrective measure; antidotes; apply the appropriate spiritual antidote; corrective state of mind; spiritual a
489	220	chepa	ces pa	the phrase; say; "; text is saying; line; words; exemplified
490	220	kyenpa	mkhyen pa	knowing; state of knowledge; knowledge; understands
491	220	tikle	thig le	drops the great seal
492	219	jinye	ji snyed	all; totality; how many
493	219	ngunpo	sngon po	blue; blueness; color blue
494	219	tsul gyi	tshul gyis	in a way; in; because
495	218	nyampar	mnyam par	equates
496	217	gakja	dgag bya	object we deny; object which we deny; object whose existence we deny; object, whose existence we deny; object that we de
497	217	yidvak	yi dvags	craving spirit; craving spirits; craving spirits [preta]; spirits; insatiable spirit
498	216	la la	la la	some
499	216	tsulshin	tshul bzhin	in the proper way; properly; right way; proper; accurate
500	215	dewar	bde bar	never suffer any pain
501	215	chesung	ces gsungs	has ... composed; it is stated that
502	215	ngepay	nges pa'i	exactly
503	214	kelpa	bskal pa	eons; eon; millions of years
504	213	chashe	cha shas	parts; part; piece; distinct parts; fragments
505	213	ga la	ga la	it's absurd to say; how could; how ... ?
506	213	drong	grong	towns; town
507	213	mupa	mos pa	deep love; joy
508	212	ponya	pho nya	messengers
509	212	nampar she	rnam par shes	have a more general
510	211	jokpa	'jog pa	engaged; ignore; what they mean; established; decides; say; establishes; determines; decide; establish; set forth; defin
511	211	ngensong	ngan song	lower realms; births of misery; lower births
512	211	ngowo nyime	ngo bo nyid med	lack of any nature of their own; lack of a nature; not having any self-nature; lacked any nature of their own; lacks of 
513	210	nyeje	nyes byas	secondary offense; secondary offenses; offense; offenses; commit offense; additional offenses; commit offenses; wrong de
514	210	gyeltsen	rgyal mtshan	banner
515	210	tama	tha ma	end; final; lower-order; the very end; the final; very lowest; last
516	209	sumpo	gsum po	three; the three; these three
517	209	chinang	phyi nang	the inside or the outside; inner and outer; outer and inner things
518	209	tak yang dak	rtags yang dag	quality to be proven
519	208	matak	ma thag	the point just after; just after
520	208	tsorwa	tshor ba	feelings; feeling; act of feeling; craving; experiencing; sensations; identity
521	207	jampel	'jam dpal	emptiness
522	207	drima	dri ma	impurity; impurities; undesirable qualities; stained; stink
523	207	lelok	las log	turn back from; turns back from
524	206	majung	ma byung	not
525	206	kangpa	rkang pa	leg; feet; line; foot; lines
526	206	yume	yod med	those ... and those who are not; relative; does nor does not exist; whether or not there is; whether ... exist ... or no
527	205	dechen	bde chen	beyond all angels paradise
528	203	chompa	bcom pa	destroyer; destroyers; destroy; destroying; smashed
529	203	che du	ched du	for; meant by; in order to; for the sake; for the benefit of
530	203	nyamshak	mnyam gzhag	deep meditation; meditative; state of balanced meditation
531	203	shi-ne	zhi gnas	(shamata, or insight); and
532	202	gu te	dgos te	there is a reason why the first condition must be present:
533	201	shenyen	bshes gnyen	spiritual guide; spiritual friend; spiritual guides; guide
534	201	nyima	nyi ma	sun; sunshine; day
535	201	chir na	phyir na	for; since; due to
536	200	yang na	yang na	finally; still again; you could also say; also; by the way; can also be; you could also answer; else; one may also state
537	200	yidam	yi dam	tutelary deities; great pledge
538	199	wang du je	dbang du byas	follow; restrict ourselves for example; relative to; refer ... to; with reference to; point of view
539	199	kyu kyi	khyod kyis	future lives
540	199	nyam na	snyam na	someone might think
541	198	oktu	'og tu	under; further on; subsequent; later; after
542	198	jangchub sempay	byang chub sems dpa'i	of the bodhisattva
543	198	rimgyi	rim gyis	all in the proper stages; one at a time
544	197	bardo	bar do	intermediate state; between death and rebirth; inbetween; state between death and rebirth
545	197	gangshe na	gang zhe na	what are; someone may raise the following objection; one may ask; one may begin with the following question:; what is; j
546	197	chik gi	gcig gi	single; at once
547	197	yupar tel	yod par thal	this is so
548	196	chudruk	bcu drug	sixteen
549	196	choksum	mchog gsum	three jewels
550	195	tun chok	mthun phyogs	work against the practice
551	195	yulchen	yul can	which takes this form as its object; subject; subject state of mind; subject mind
552	195	serwa	zer ba	authored; tell; when a person can say; so-called ... so-called ... so-called ... so-called ... so-called; claim; to say;
553	194	sangpo	bzang po	good; good fortune; wonderful kind; wonderful; excellent
554	194	suknyen	gzugs brnyan	reflection; image
555	194	soso	so so	each one; various; parts; individual; each
556	193	tsundru	brtson 'grus	efforts; effort; mighty effort; the practice of effort; exert; great efforts in the spiritual life
557	193	lobma	slob ma	student; students
558	193	sindri	zin bris	a record that was made
559	192	chunyi	bcu gnyis	twelve; (twelve
560	192	ne-su	gnas su	that you will be able to; how
561	192	hlakma	lhag ma	remaining; that remaining; final; remainder; residual; the remaining; majority; other; whatever's left over; left; other
562	192	minpa	min pa	without; nor; is not; cannot; no; not as being; can't; was not; not; is no more than; does not; are not; doesn't; do not
563	192	tsawar	rtsa bar	of the root text; conveyed in the root text; says; root text presents; in the root text; root text states
564	191	dechir	de phyir	then; for; for this reason; therefore; thus; as a result
565	191	jitawa	ji lta ba	the way things really are; quality; way; being; actual reality
566	191	kun la	kun la	everybody; everyone; into "everything,"; into everything
567	191	sosoy	so so'i	individual
568	191	sungnjuk	zung 'jug	secret union
569	190	hlakpar	lhag par	with special care; more; strongly ... strong
570	190	kyeche	skye mched	doors of sense; the object of the eye; door of sense; realm; doors of perception; doorway ... through which perceptions 
571	189	dunme	don med	point; meaningless; nothing
572	189	jishin	ji bzhin	as well as; just as; exactly
573	189	gyudre	rgyu 'bras	cause and effect
574	188	drupta	grub mtha'	system; school; tenets; positions; philosophical system; intellectual belief; schools; schools of philosophy
575	188	chir du	phyir du	in order to; since; for no more reason than; to; consists of; in order
576	187	derang	de rang	itself; thing is itself
577	187	nang ne	nang nas	among; up out of; standard division into; with respect to; from the viewpoint; within; those who are
578	187	nyam du sem	snyam du sems	subhuti
579	186	bashik	'ba' zhig	only; restricted here only; all you can; gross example; alone
580	186	un kyang	'on kyang	though; nonetheless; now; however; but
581	186	yabyum	yab yum	man and wife
582	185	ongwa	'ong ba	will come; would be ... would be ... would happen; 've; comes; ripen; happen
583	185	detar na	de ltar na	in this sense; therefore; and so; thus we can say; it is equally true that; and so it is; consider the fact that; as suc
584	185	nyi le	nyid las	none other; itself
585	185	tsam la	tsam la	just; no bigger than; are the size of; down to; in themselves
586	184	barma	bar ma	neutral; to; between; it kept them from; up to; medium-length
587	184	drachompa	dgra bcom pa	enemy destroyer; enemy destroyers; state of an enemy destroyer; destroyer of the foe; foe destroyer; destroying the enem
588	184	gangyinpa	gang yin pa	who are; which is; display; they are; :; all those things which; those things that display; as being; something; anythin
589	184	hlung	lhung	will fall; fall; fell back; dropped
590	183	la na mepa	bla na med pa	matchless; surpassed by none other; unsurpassed
591	183	chunjung	chos 'byung	star
592	183	tentsik	gtan tshigs	proof; element of the reason; logical; reasoning; logical reason; type of logic; various reasons; reasons
593	183	tsang	gtsang	clean; pure
594	183	kap kyi	skabs kyi	when; when we speak of
595	183	shenpa	zhen pa	craving; desire (contextually)
596	182	drukpa	drug pa	the sixth point in our discussion; sixth; six
597	181	korwar	'khor bar	in the circle of suffering life; circle of suffering; in the circle of life; in the circle of birth
598	181	nyunmongpa	nyon mongs pa	mental affliction; mental afflictions; mental-affliction; bad thoughts; mentally afflicted things; mentally afflicted; a
599	180	gangsak gi dak	gang zag gi bdag	person as having some self-nature; self-nature of persons; self-nature to the person; self-nature of a person
600	180	le ni	las ni	as for
601	180	taye	mtha' yas	a limitless number; endless; limitless
602	179	dike	'di skad	here is how; make this claim; say ... the following:; say this; say; answer like this
603	179	dupe	'dod pas	those who wish
604	179	konchok sum	dkon mchog gsum	the Three Jewels
605	178	tsenshi	mtshan gzhi	refers to; refers; thing we refer; refer to; prime example; typical example; prime examples; typical examples; example; 
606	178	trengwa	phreng ba	the string; rows; string
607	178	dzokpay sangye	rdzogs pa'i sangs rgyas	reasoning
608	177	dangndenpay	dang ldan pa'i	full of
609	177	matong	ma mthong	don't seem; prevent him from seeing; hadn't seen any; never see; hadn't seen; didn't see; see
610	177	marme	mar me	lamps; lamp
611	176	punsum tsokpa	phun sum tshogs pa	very highest and most excellent; fulfillments; fulfillment; excellent; good that could ever come; good thing; positions
612	176	namdrang	rnam grangs	equivalent; different; types; beliefs; presentations; different versions; name; same thing; listings; various
613	176	kyewar gyur	skye bar 'gyur	take their birth; take their births; come back; caused by; arise; produces
614	176	ngarshepa	sngar bshad pa	described above; mentioned above; we have given thus far
615	175	yunring	yun ring	far into the future; long period of time
616	174	drawar	'dra bar	as if ... as if; as; along these lines; alike; exactly the same
617	174	kun ne	kun nas	completely; total; very; side; every
618	174	nyangen le de	mya ngan las 'das	passed into nirvana; beyond all grief
619	174	songwa	song ba	passed; living in the; is functioning; so; first; extends; was; way; increases; has; has become; have already
620	174	tsendi	tshe 'di	this present life; over this entire life; this life; present life; those lives; this entire life
621	173	drangme	grangs med	countless; "countless"; without count; "countless."
622	173	shekpay	gshegs pa'i	to leave
623	173	rangrang	rang rang	each one; each
624	172	dewe	de bas	farther still; still; then
625	172	gyatsoy	rgya mtsho'i	of the sea
626	172	gyepay	rgyas pa'i	up to the point
627	171	banyi	ba nyid	sake of every living
628	171	laye na	la dbye na	types
629	171	ngotsar	ngo mtshar	amazing
630	170	gyur na	gyur na	these are; occurrence continue; would ... if; can
631	170	gunpo	mgon po	protector; savior; the protector [nagarjuna]
632	170	pentsun	phan tshun	each other ... each other ... each other; each other; side by side
633	170	separ	zad par	exhaustively; in its entirety; totally ... total; all
634	170	shiwa	zhi ba	shantideva
635	169	gang gi tse	gang gi tshe	at this point; at what point
636	169	lakpa	lag pa	hands; arms; a limb; hand
637	169	nyerlen	nyer len	the material cause; have taken on; material cause; took on
638	169	pongwa	spong ba	prevent; giving up; failing; rejecting; eliminate; refusing; to put a stop; give up doing; avoid; refuting; refute; clar
639	169	tamche du	thams cad du	whatever she does; every situation; wherever; every way
640	168	dangpoy	dang po'i	first
641	168	tong ne	mthong nas	who have seen ... those who have seen ... who have seen; have seen; caught sight
642	168	dzokpay jangchub	rdzogs pa'i byang chub	total enlightenment; total buddhahood
643	168	rungwa	rung ba	something that would be entirely appropriate; right; serve; can; properly be; appropriate
644	168	sabmo	zab mo	profound
645	167	gyurshing	'gyur zhing	would have to
646	167	shendak	gzhan dag	asian classics institute course
647	166	di le	'di las	of this; than that
648	166	delnjor	dal 'byor	leisure and fortune
649	166	timuk	gti mug	ignorance; ignorant
650	166	mange	ma nges	nothing that are fixed; nothing fixed; not have to; not a fixed thing; indefinite; not a definite thing
651	166	gyulu	sgyu lus	anyway this mannequin apparition
652	166	lar yang	slar yang	again; then; left
653	165	chikpa	gcig pa	a single; same; the same; single; one
654	165	tunpar	mthun par	an appropriate way
655	165	rangwang	rang dbang	its power; self-standing; independent; own power; discretion; freedom
656	165	tse na	tshe na	situation; (at which time
657	164	trashi	bkra shis	tashi
658	164	nammin	rnam smin	karmic result; result; ripening; ripen; ripen?; ripens; ripened
659	163	mikshe	mig shes	visual consciousness; visual consciousnesses; consciousness of the eye; eye consciousness; sees
660	162	paktu me	dpag tu med	full verse reads
661	162	kyigo ne	kyi sgo nas	through
662	162	lelokpa	las log pa	objectification of a specific
663	162	sundro	su 'gro	take
664	162	yin kyang	yin kyang	even though
665	162	sinpa	zin pa	feels; to have; having in mind; locked; already; object; having; been; is in the throes
666	161	jukpar	'jug par	engage
667	161	dulja	gdul bya	disciples; follower; disciple; kinds of disciples; us; disciples ... disciples; students
668	160	lojong	blo sbyong	training one's mind
669	160	sung ne	bzung nas	take on; found; taking
670	160	yang yang	yang yang	over and over; over and over again
671	159	katselpa	bka' stsal pa	gave voice to
672	159	lodru	blo gros	wisdom; intellect; understanding
673	159	jipa	byis pa	children; infant; child [non-arya]; child
674	159	dak dang	dag dang	mental link
675	159	nyemik	nyes dmigs	goes wrong; something wrong; be wrong; considering the problems; problems
676	159	tsikche	tshigs bcad	full verse reads
677	158	lappa	bslab pa	training; the code; rules ... must follow; precepts; keep to the code; trainings; followed; teaching; keeping the rules;
678	158	tongpar	stong par	is empty
679	157	jorpa	'byor pa	brought
680	157	nyipo	gnyis po	two; both; two cases; both versions; the two
681	156	dakdzin	bdag 'dzin	grasping to "self"; grasping "self"
682	156	mama	ma ma	sake of every living
683	156	nyung	nyung	small number; short; fewer
684	156	nampar shepa	rnam par shes pa	consciousness; mind; sensed; know; known
685	155	jisi	ji srid	infallible interdependence and emptiness
686	155	mindrawa	mi 'dra ba	different; dissimilar; variety; different permutations; different combinations; differences
687	155	nyugu	myu gu	sprout; sprouts
688	155	tsul du	tshul du	from the fact that they; come to; with; in the sense of
689	155	yupa mayin	yod pa ma yin	does not exist; cease to be; not
690	154	dendrup	bden grub	exist in truth; voidness; existed truly; true existence; exists truly; have true existence; to exist truly; existing rea
691	154	chupa	gcod pa	to cut; stopped short; cut; cutting; exclude; discern; loses; lose; lost; losing
692	154	shenwang	gzhan dbang	it's something very wrong
693	154	chinchi lok	phyin ci log	mistaken impression; mistaken; misconceptions; misconception; mistaken thing; totally mistaken backwards; misperceptions
694	153	jikten gyi kam	'jig rten gyi khams	planet; the great outer vessel
695	153	chu kyi gyel	chos kyi rgyal	king of the dharma
696	153	miong	mi 'ong	won't; unattractive
697	153	nyenrang	nyan rang	listeners and self-made buddhas; listeners and the self-made buddhas; listener and "self-made buddha"; of these two type
698	153	ring du	ring du	long; even longer; spent a good deal of time
699	153	shedang	zhe sdang	dislike
700	152	barje	bar byas	planets
701	152	dampay chu	dam pa'i chos	the holy dharma; teachings
702	152	lekshe	legs bshad	excellent explanation; eloquence
703	152	dzokpa	rdzogs pa	complete; end; completion; fully; total; totally; satisfies entirely; fulfill; completed; carrying out
704	152	tseme	tshad med	without measure; immeasurable; no correct perception
705	152	shupa	zhus pa	tilopa
706	151	ten la	rten la	state of meditation called
707	151	yiche	yid ches	believe; believes
708	150	tamel	tha mal	normal
709	149	dangngelwa	dang 'gal ba	overstepping; contradicts
710	149	dechiy chir	de ci'i phyir	subhuti
711	149	she ne	shes nas	knowing; come to learn; understand; could perceive; recall; born from knowledge
712	149	tukje	thugs rje	compassion
713	148	deke	de skad	in the following words; we; that says
714	148	dunchik	don gcig	the following all refer to the same thing:; same common goal
715	148	ludrub	klu sgrub	nagarjuna
716	148	ngu ne	ngos nas	situation; through; on their side; on its side; from its own side; from its side; on their own side; point of view
717	148	rangrik	rang rig	self-perception of the mind; n of the mind; self- perception of the mind
718	148	gyude	rgyud sde	creation which is exemplified
719	148	tsupa	rtsod pa	arguments; argument; debate; the argument; contention; argue; argues; rebuttal; to make the argument; quarrel; quarrelin
720	148	kyunme	skyon med	and yet it does not; there is no problem; no contradiction; there is no such problem; no problem; and yet there is no su
721	148	chendrang	spyan drangs	dissolves into the corresponding
722	148	tsendiy	tshe 'di'i	in this life; present
723	147	chenyin	can yin	has
724	147	rakpa	rags pa	the grosser one; gross kinds; gross
725	146	deta bu	de lta bu	this kind; particular; like this; of this kind; this type; like; cases; in this sort of case
726	146	shitunpa	gzhi mthun pa	objects which are both
727	146	kamsum	khams gsum	all three realms; three different realms; three realms
728	145	druppa me	grub pa med	no achieving
729	145	rangrang gi	rang rang gi	each one of them; their own separate; each; each being's; each of
730	145	rik kyi bu	rigs kyi bu	o child of noble family
731	145	sempa	sems pa	thinking; movement of the mind; thoughts; mental movement; movement of the ... mind; thinking about; think; mind; any mo
732	145	drubje	sgrub byed	proofs; proving; proof; establish; thing you are using to prove your statement; established; achieving; reach; practices
733	145	tsam yang	tsam yang	even
734	144	tramo	phra mo	subtle; microscopic; microscopic ... little
735	144	namtok	rnam rtog	state of mind; ideas; conceptions; impression
736	144	shingta	shing rta	wagon; oxcart; innovators; innovator
737	144	le du	slad du	thus
738	143	bumo	bu mo	daughter
739	143	chi yang	ci yang	totally; anything; at all; and
740	143	migewa	mi dge ba	non-virtuous; non-virtues; non-virtue; non- virtue; not virtuous; non-virtuous deeds
741	142	shendun	gzhan don	benefit
742	142	te-tsom	the tshom	unresolved doubts; doubt; uncertainty; suspecting
743	142	yangrung	yang rung	whether
744	141	cheja	ces bya	speak; we say of them; say ... say; speak of them as; "; say
745	141	mingyur ro	mi 'gyur ro	appearance prevents the existence
746	141	rangshen	rang gzhan	oneself nor another; itself and other; oneself and others
747	141	nelnjorpa	rnal 'byor pa	practitioners; high practitioners; serious practitioner; high practitioner
748	141	dungel gyi	sdug bsngal gyi	pain
749	141	tubwang	thub dbang	Lord of the Able
750	140	matop	ma thob	yet to reach
751	140	jarwa	sbyar ba	make; stuck; applied; distinctions; bridging; mixed; continue
752	139	jamyang	'jam dbyangs	Gentle Voice
753	139	jaway chir	bya ba'i phyir	in order to; so
754	139	jepapo	byed pa po	someone; person; being who created; creator; maker; prime creator; person who committed; one who made; one who commits
755	139	chu kyi dak	chos kyi bdag	self-nature to objects
756	139	tarchin	mthar phyin	to its perfection; completion; perfection
757	139	tsenma	mtshan ma	symbolic points; typical features; that which exhibits the typical features; exhibits the typical features; characterist
758	139	gyachen	rgya chen	wealthy
759	138	pelcher	phal cher	most of them; for the most part; majority of; on the whole; most of; vast majority; great majority; majority of schools;
760	138	nampar min	rnam par smin	also ripens into something
761	137	dakchak	bdag cag	us; our
762	137	gangyinpa de	gang yin pa de	those things which; them to be; as being; that thing which is; is something that; this kind of; those things that; that 
763	137	lendepa	las 'das pa	pass beyond; beyond; gone ... beyond
764	137	lupa	lus pa	every single
765	137	gyache	rgya che	vastness
766	137	namdak	rnam dag	pure; totally pure
767	137	tsechik	rtse gcig	single-pointed meditation
768	136	che na	ce na	someone may ask; one may ask; one may pose still another question:; someone might object; ?; one then might ask again:; 
769	136	dangdrelwa	dang bral ba	losing; gets free of; never a single; freed as well from; anything but; ridding themselves; free of; lost; depart and le
770	136	sangngak	gsang sngags	teachings of the secret word; the secret vows; way of the secret word; secret word; secret
771	136	konar	kho nar	only; can only
772	136	rimshin	rim bzhin	in respective order; respective; than the next; stages gradually; respectively
773	136	tokpe	rtog pas	through the process of conceptualization; imagined; conceptualization
774	135	sung te	bzung ste	then; judge
775	135	drung	drung	the base
776	135	sukchen	gzugs can	physical
777	135	madak	ma dag	impure
778	135	kabdir	skabs 'dir	at this point; at this juncture; in this particular instance
779	134	gompe	bsgoms pas	through meditating upon
780	134	jepa yin	byed pa yin	are
781	134	kyechu	khyad chos	characteristics; different parts; different
782	134	minang	mi snang	can't appear
783	134	gosum	sgo gsum	body, speech, or mind; the three doors of expression; three doors of expression; three passageways; three doors
784	134	tokma	thog ma	outset; first; beginning; starting point; being; start; very start
785	133	dunje	don byed	acts for the benefit; perform a function; performing a function; perform the function; working; acts for
786	133	drilbu	dril bu	bell
787	133	dor na	mdor na	to put briefly; we may summarize these points as follows.; we can summarize as follows; to put it briefly; to summarize;
788	133	ngowo nyi kyi	ngo bo nyid kyis	by their very nature; by nature
789	133	sherchin	sher phyin	perfection of wisdom; wisdom perfection
790	132	di nam	'di rnams	these spirits; all these; any of these; they; every; above
791	132	kakpa	bkag pa	denying; disproved; refutation; deny; refuses; disproving; denied; stopped; refutations; refute; refutes; denial
792	132	ngenjung	nges 'byung	renunciation
793	131	drowar	'gro bar	misery
794	131	shepa la	bshad pa la	here we will explain; here now is; explanation
795	131	gongndrel	dgongs 'grel	commentaries which explain the true intent; commentary on the true intent; commentary on the true intent of the sutras; 
796	131	rekja	reg bya	tangibles; feel; sensation; physical sensations
797	131	yang du	yang du	again and again
798	130	jawa dang	bya ba dang	keeping the following rules
799	130	dusum	dus gsum	the past or present or future; all these three times; past, present, and future; three times
800	129	ser gyi	gser gyi	golden
801	129	ji tsam	ji tsam	how much; constantly; it doesn't matter; how long then; no matter; whatever
802	129	ngarshin	sngar bzhin	as before; just the same as ... above; above
803	129	chi dang jedrak	spyi dang bye brag	then finally
804	128	mitun chok	mi mthun phyogs	work against
805	127	je de	byed de	but it can:
806	127	jitawa shin	ji lta ba bzhin	the same as; really are; exactly
807	127	kyamdro	skyabs 'gro	refuge; going for refuge
808	127	kyewa me	skye ba med	never begins
809	126	barwa	'bar ba	hot; blaze
